source_id,ra_deg,dec_deg,gmag
3066666267786515584,127.23639403459,-03.12550631318,10.945571
3066666332210424064,127.20901695764,-03.13002380069,11.790449
3066847652845633920,126.93084723148,-03.17411022046,11.548409
3066852424552552064,126.93037158151,-03.11243425160,11.412335
3066853970741519232,126.86831519884,-03.04183669971,8.643810
3066858991559279488,127.00561480327,-03.05183328555,11.080799
3066860022351179264,127.03676935055,-02.96721017109,9.713110
3066866477686278784,126.83598134584,-02.98012637727,11.641571
3066870192833799808,126.75516626824,-02.94462797879,11.871205
3066872323137538304,126.92761417906,-02.95554494069,11.596992
3066874758383213312,126.98673527408,-02.86576875759,10.490992
3066926916466043776,126.72309149430,-02.72419772993,10.271390
3066930288016181504,126.67220733876,-02.67327471395,11.116239
3066933071154974592,126.68997229774,-02.60260420879,10.508284
3066944925264709376,126.68268335423,-02.57435525577,11.324493
3066946398437687808,126.64380933163,-02.52972607563,11.824084
3071455706077033472,129.42945645059,-04.70215918675,10.422198
3071458141323274240,129.51334411992,-04.61712678817,11.523755
3071459897965943424,129.33648052694,-04.65740392664,11.108086
3071461993909152640,129.38253748517,-04.57055420906,9.911816
3071464845767431168,129.50684077647,-04.58878015900,10.598567
3071465189364853888,129.47863900598,-04.55394166451,11.807030
3071465910919314816,129.55194146573,-04.48463523041,9.712821
3071466181501148032,129.66707691881,-04.51040809856,11.779860
3071467354028324736,129.58246791289,-04.47934408990,9.601476
3071472022656668672,129.56488224005,-04.39076872563,11.879999
3071475252472059008,129.29017520084,-04.49415835562,8.627532
3071480200274382592,129.24741509480,-04.37830620705,11.842596
3071481613319678976,129.34387113828,-04.45316532260,11.614874
3071483846702652416,129.45466157570,-04.36809354368,10.115942
3071484392162479744,129.48766431714,-04.33198881687,11.776665
3071486423683038464,129.35457259150,-04.34010765752,11.639497
3071489546123216640,129.33472557672,-04.23312393653,11.979659
3071492230478887680,129.74269505442,-04.35166546359,10.828718
3071492810298380544,129.79781500680,-04.35212828849,11.764178
3071493188255501824,129.85515030521,-04.32894646538,10.925015
3071493634932100864,129.78656374883,-04.33357961063,9.356224
3071502121787472768,130.04896899255,-04.16788001960,10.743992
3071503363034110720,129.83021592805,-04.23598189360,11.084381
3071503667975701632,129.78253185445,-04.22264230649,11.890290
3071507138309271936,129.85861823716,-04.07766957063,11.460052
3071508581420749440,129.57987556525,-04.25955582595,10.738986
3071510097542727168,129.67449123758,-04.21911964062,11.236128
3071510475499846400,129.68625412232,-04.20728468313,9.627744
3071513774034754304,129.45769890005,-04.17572506393,11.611707
3071516999554185344,129.71731928216,-04.12200832627,10.052790
3071518442663195264,129.70427815766,-04.07987648284,11.316348
3071519683909697408,129.85879015907,-04.02895146316,7.635993
3071521431960432000,129.63874391040,-04.03981080706,11.549332
3071524081956210176,129.76702116770,-03.94730951365,11.443129
3071525147108103680,129.71371767938,-03.91139771804,9.158233
3071525181467839872,129.72284213628,-03.90865810664,10.857150
3071530472868526336,128.99032212526,-04.34003240191,11.561202
3071534797898647808,129.26646150251,-04.26934716087,11.396302
3071535008353102464,129.21560353194,-04.25685335651,11.215673
3071537168720594176,129.31478674576,-04.18165458042,9.866570
3071538409967180160,129.29809431818,-04.11701100681,11.667216
3071542597560268160,129.21944513345,-04.06777387671,7.941060
3071543250395782656,128.81654682799,-04.28834761917,11.986724
3071552802402565376,128.97529920205,-04.14011812296,11.795278
3071554799562280576,129.12330867302,-04.03494688018,11.301356
3071555173224509568,129.10477344340,-04.02714134730,9.365021
3071555761634953216,129.12346197926,-03.99583866441,11.701667
3071560949955677056,129.37770449421,-04.12631567578,11.684710
3071566653672007040,129.29704690147,-04.00362297373,9.154773
3071567851966965504,129.43239996827,-03.96319885702,11.401673
3071568646536825216,129.34113573295,-03.93454358285,10.708121
3071570398883564288,129.51140024539,-03.99044938917,10.056776
3071572048151909248,129.68233455224,-03.91064188826,9.655800
3071583313850230016,129.12916311620,-03.88912807935,11.891912
3071583764821720960,129.09995201217,-03.88148170828,11.326595
3071583897965782016,129.05515844131,-03.87624797416,11.970487
3071584348937268992,129.12091653327,-03.84199359496,11.389388
3071584413361857280,129.09078613783,-03.86020105101,9.920959
3071586165708512512,129.13680181198,-03.79569101060,11.811556
3071587986774646784,129.32990545658,-03.83602759010,11.531271
3071589292444715392,129.46795155977,-03.77334441064,11.781097
3071590430610933248,129.43424379377,-03.72262413944,10.394194
3071592663993943168,129.21949052323,-03.73655817905,11.035573
3071595825090013696,130.09029838308,-04.15396517679,11.323846
3071596031248444928,130.04626211946,-04.15250171633,11.946651
3071597268199025536,130.02467131267,-04.08881357121,11.027000
3071599566006150912,130.18255680689,-04.00950189741,11.260826
3071600321920395776,130.00606159318,-04.05778692616,11.552639
3071602868836325120,130.13640256822,-03.98003953313,7.759372
3071604754325981824,130.23225687694,-04.01013040019,10.207672
3071614443772863744,129.84638009660,-03.98109714107,11.407948
3071618502517306624,129.84425091235,-03.89275153711,11.718491
3071623244161178496,130.02454607031,-03.82418004031,11.954740
3071623347239671936,130.06539411276,-03.80644344331,8.019867
3071624751694368128,130.14553801830,-03.75101470473,11.876970
3071625065227283712,130.24062806265,-03.72398994923,11.313351
3071625889861015936,130.11809863482,-03.69891183759,11.911307
3071626267818136704,130.13117508622,-03.69741371177,11.974115
3071630700224387072,130.05905523163,-03.60652120563,11.224742
3071631073885570944,130.44272590321,-03.85016251965,10.129687
3071632108973715328,130.40616825601,-03.81209812942,11.604359
3071634544219144832,130.45270768162,-03.72770648428,11.782399
3071636781897324160,130.30544676156,-03.72416100142,11.375935
3071639496317373440,130.40827934412,-03.60977787798,11.147488
3071642794853090176,130.71244030434,-03.57937803540,9.542593
3071644959515760512,130.53223988173,-03.58574314552,11.561843
3071645474911842432,130.45837719672,-03.57920222360,11.968282
3071646746223005056,130.58484072351,-03.52671451322,11.548099
